Wildcard,File,XPATH
@@NEWCASH25_5@@,OutputChartFile,NewCash[1|25]
@@NEWCASH25_25@@,OutputChartFile,NewCash[2|25]
@@NEWCASH25_50@@,OutputChartFile,NewCash[3|25]
@@NEWCASH25_75@@,OutputChartFile,NewCash[4|25]
@@NEWCASH25_95@@,OutputChartFile,NewCash[5|25]
@@NEWCASH25_MU@@,OutputChartFile,NewCash[6|25]
@@NEWCASH25_VOL@@,OutputChartFile,NewCash[7|25]
@@NEWCASH30_5@@,OutputChartFile,NewCash[1|30]
@@NEWCASH30_25@@,OutputChartFile,NewCash[2|30]
@@NEWCASH30_50@@,OutputChartFile,NewCash[3|30]
@@NEWCASH30_75@@,OutputChartFile,NewCash[4|30]
@@NEWCASH30_95@@,OutputChartFile,NewCash[5|30]
@@NEWCASH30_MU@@,OutputChartFile,NewCash[6|30]
@@NEWCASH30_VOL@@,OutputChartFile,NewCash[7|30]
@@OLDHWCASHPERCENTILE@@,,
@@OLDHWHIST@@,,
@@NEWHWPERCENTILE@@,,
@@NEWHWHIST@@,,
@@OLDSPOT1_5@@,,
@@OLDSPOT1_25@@,,
@@OLDSPOT1_50@@,,
@@OLDSPOT1_75@@,,
@@OLDSPOT1_95@@,,
@@OLDSPOT1_MU@@,,
@@OLDSPOT1_VOL@@,,
@@OLDSPOT5_5@@,,
@@OLDSPOT5_25@@,,
@@OLDSPOT5_50@@,,
@@OLDSPOT5_75@@,,
@@OLDSPOT5_95@@,,
@@OLDSPOT5_MU@@,,
@@OLDSPOT5_VOL@@,,
@@OLDSPOT10_5@@,,
@@OLDSPOT10_25@@,,
@@OLDSPOT10_50@@,,
@@OLDSPOT10_75@@,,
@@OLDSPOT10_95@@,,
@@OLDSPOT10_MU@@,,
@@OLDSPOT10_VOL@@,,
@@OLDSPOT15_5@@,,
@@OLDSPOT15_25@@,,
@@OLDSPOT15_50@@,,
@@OLDSPOT15_75@@,,
@@OLDSPOT15_95@@,,
@@OLDSPOT15_MU@@,,
@@OLDSPOT15_VOL@@,,
@@OLDSPOT25_5@@,,
@@OLDSPOT25_25@@,,
@@OLDSPOT25_50@@,,
@@OLDSPOT25_75@@,,
@@OLDSPOT25_95@@,,
@@OLDSPOT25_MU@@,,
@@OLDSPOT25_VOL@@,,
@@OLDSPOT30_5@@,,
@@OLDSPOT30_25@@,,
@@OLDSPOT30_50@@,,
@@OLDSPOT30_75@@,,
@@OLDSPOT30_95@@,,
@@OLDSPOT30_MU@@,,
@@OLDSPOT30_VOL@@,,
@@NEWSPOT1_5@@,,
@@NEWSPOT1_25@@,,
@@NEWSPOT1_50@@,,
@@NEWSPOT1_75@@,,
@@NEWSPOT1_95@@,,
@@NEWSPOT1_MU@@,,
@@NEWSPOT1_VOL@@,,
@@NEWSPOT5_5@@,,
@@NEWSPOT5_25@@,,
@@NEWSPOT5_50@@,,
@@NEWSPOT5_75@@,,
@@NEWSPOT5_95@@,,
@@NEWSPOT5_MU@@,,
@@NEWSPOT5_VOL@@,,
@@NEWSPOT10_5@@,,
@@NEWSPOT10_25@@,,
@@NEWSPOT10_50@@,,
@@NEWSPOT10_75@@,,
@@NEWSPOT10_95@@,,
@@NEWSPOT10_MU@@,,
@@NEWSPOT10_VOL@@,,
@@NEWSPOT15_5@@,,
@@NEWSPOT15_25@@,,
@@NEWSPOT15_50@@,,
@@NEWSPOT15_75@@,,
@@NEWSPOT15_95@@,,
@@NEWSPOT15_MU@@,,
@@NEWSPOT15_VOL@@,,
@@NEWSPOT25_5@@,,
@@NEWSPOT25_25@@,,
@@NEWSPOT25_50@@,,
@@NEWSPOT25_75@@,,
@@NEWSPOT25_95@@,,
@@NEWSPOT25_MU@@,,
@@NEWSPOT25_VOL@@,,
@@NEWSPOT30_5@@,,
@@NEWSPOT30_25@@,,
@@NEWSPOT30_50@@,,
@@NEWSPOT30_75@@,,
@@NEWSPOT30_95@@,,
@@NEWSPOT30_MU@@,,
@@NEWSPOT30_VOL@@,,
@@OLDSPOT301_5@@,,
@@OLDSPOT301_25@@,,
@@OLDSPOT301_50@@,,
@@OLDSPOT301_75@@,,
@@OLDSPOT301_95@@,,
@@OLDSPOT301_MU@@,,
@@OLDSPOT301_VOL@@,,
@@OLDSPOT305_5@@,,
@@OLDSPOT305_25@@,,
@@OLDSPOT305_50@@,,
@@OLDSPOT305_75@@,,
@@OLDSPOT305_95@@,,
@@OLDSPOT305_MU@@,,
@@OLDSPOT305_VOL@@,,
@@OLDSPOT3010_5@@,,
@@OLDSPOT3010_25@@,,
@@OLDSPOT3010_50@@,,
@@OLDSPOT3010_75@@,,
@@OLDSPOT3010_95@@,,
@@OLDSPOT3010_MU@@,,
@@OLDSPOT3010_VOL@@,,
@@OLDSPOT3015_5@@,,
@@OLDSPOT3015_25@@,,
@@OLDSPOT3015_50@@,,
@@OLDSPOT3015_75@@,,
@@OLDSPOT3015_95@@,,
@@OLDSPOT3015_MU@@,,
@@OLDSPOT3015_VOL@@,,
@@OLDSPOT3025_5@@,,
@@OLDSPOT3025_25@@,,
@@OLDSPOT3025_50@@,,
@@OLDSPOT3025_75@@,,
@@OLDSPOT3025_95@@,,
@@OLDSPOT3025_MU@@,,
@@OLDSPOT3025_VOL@@,,
@@OLDSPOT3030_5@@,,
@@OLDSPOT3030_25@@,,
@@OLDSPOT3030_50@@,,
@@OLDSPOT3030_75@@,,
@@OLDSPOT3030_95@@,,
@@OLDSPOT3030_MU@@,,
@@OLDSPOT3030_VOL@@,,
@@NEWSPOT301_5@@,,
@@NEWSPOT301_25@@,,
@@NEWSPOT301_50@@,,
@@NEWSPOT301_75@@,,
@@NEWSPOT301_95@@,,
@@NEWSPOT301_MU@@,,
@@NEWSPOT301_VOL@@,,
@@NEWSPOT305_5@@,,
@@NEWSPOT305_25@@,,
@@NEWSPOT305_50@@,,
@@NEWSPOT305_75@@,,
@@NEWSPOT305_95@@,,
@@NEWSPOT305_MU@@,,
@@NEWSPOT305_VOL@@,,
@@NEWSPOT3010_5@@,,
@@NEWSPOT3010_25@@,,
@@NEWSPOT3010_50@@,,
@@NEWSPOT3010_75@@,,
@@NEWSPOT3010_95@@,,
@@NEWSPOT3010_MU@@,,
@@NEWSPOT3010_VOL@@,,
@@NEWSPOT3015_5@@,,
@@NEWSPOT3015_25@@,,
@@NEWSPOT3015_50@@,,
@@NEWSPOT3015_75@@,,
@@NEWSPOT3015_95@@,,
@@NEWSPOT3015_MU@@,,
@@NEWSPOT3015_VOL@@,,
@@NEWSPOT3025_5@@,,
@@NEWSPOT3025_25@@,,
@@NEWSPOT3025_50@@,,
@@NEWSPOT3025_75@@,,
@@NEWSPOT3025_95@@,,
@@NEWSPOT3025_MU@@,,
@@NEWSPOT3025_VOL@@,,
@@NEWSPOT3030_5@@,,
@@NEWSPOT3030_25@@,,
@@NEWSPOT3030_50@@,,
@@NEWSPOT3030_75@@,,
@@NEWSPOT3030_95@@,,
@@NEWSPOT3030_MU@@,,
@@NEWSPOT3030_VOL@@,,
@@OLDCPIR0@@,OldCalibFile,//Model[Name='CPI']//StartingInflationRate|//Model[Name='CPI']//starting_inflation_rate
@@OLDCPIALPHA@@,OldCalibFile,//Model[Name='CPI']//MeanReversionStrength|//Model[Name='CPI']//mean_reversion_strength
@@OLDCPIMU@@,OldCalibFile,//Model[Name='CPI']//MeanReversionLevel|//Model[Name='CPI']//mean_reversion_level
@@OLDCPISIGMA@@,OldCalibFile,//Model[Name='CPI']//Sigma|//Model[Name='CPI']//sigma
@@NEWCPIR0@@,NewCalibFile,//Model[Name='CPI']//StartingInflationRate|//Model[Name='CPI']//starting_inflation_rate
@@NEWCPIALPHA@@,NewCalibFile,//Model[Name='CPI']//MeanReversionStrength|//Model[Name='CPI']//mean_reversion_strength
@@NEWCPIMU@@,NewCalibFile,//Model[Name='CPI']//MeanReversionLevel|//Model[Name='CPI']//mean_reversion_level
@@NEWCPISIGMA@@,NewCalibFile,//Model[Name='CPI']//Sigma|//Model[Name='CPI']//sigma
@@OLDCPI1_5@@,OutputChartFile,OldCPI[1|1]
@@OLDCPI1_25@@,OutputChartFile,OldCPI[2|1]
@@OLDCPI1_50@@,OutputChartFile,OldCPI[3|1]
@@OLDCPI1_75@@,OutputChartFile,OldCPI[4|1]
@@OLDCPI1_95@@,OutputChartFile,OldCPI[5|1]
@@OLDCPI1_MU@@,OutputChartFile,OldCPI[6|1]
@@OLDCPI1_VOL@@,OutputChartFile,OldCPI[7|1]
@@OLDCPI5_5@@,OutputChartFile,OldCPI[1|5]
@@OLDCPI5_25@@,OutputChartFile,OldCPI[2|5]
@@OLDCPI5_50@@,OutputChartFile,OldCPI[3|5]
@@OLDCPI5_75@@,OutputChartFile,OldCPI[4|5]
@@OLDCPI5_95@@,OutputChartFile,OldCPI[5|5]
@@OLDCPI5_MU@@,OutputChartFile,OldCPI[6|5]
@@OLDCPI5_VOL@@,OutputChartFile,OldCPI[7|5]
@@OLDCPI10_5@@,OutputChartFile,OldCPI[1|10]
@@OLDCPI10_25@@,OutputChartFile,OldCPI[2|10]
@@OLDCPI10_50@@,OutputChartFile,OldCPI[3|10]
@@OLDCPI10_75@@,OutputChartFile,OldCPI[4|10]
@@OLDCPI10_95@@,OutputChartFile,OldCPI[5|10]
@@OLDCPI10_MU@@,OutputChartFile,OldCPI[6|10]
@@OLDCPI10_VOL@@,OutputChartFile,OldCPI[7|10]
@@OLDCPI15_5@@,OutputChartFile,OldCPI[1|15]
@@OLDCPI15_25@@,OutputChartFile,OldCPI[2|15]
@@OLDCPI15_50@@,OutputChartFile,OldCPI[3|15]
@@OLDCPI15_75@@,OutputChartFile,OldCPI[4|15]
@@OLDCPI15_95@@,OutputChartFile,OldCPI[5|15]
@@OLDCPI15_MU@@,OutputChartFile,OldCPI[6|15]
@@OLDCPI15_VOL@@,OutputChartFile,OldCPI[7|15]
@@OLDCPI25_5@@,OutputChartFile,OldCPI[1|25]
@@OLDCPI25_25@@,OutputChartFile,OldCPI[2|25]
@@OLDCPI25_50@@,OutputChartFile,OldCPI[3|25]
@@OLDCPI25_75@@,OutputChartFile,OldCPI[4|25]
@@OLDCPI25_95@@,OutputChartFile,OldCPI[5|25]
@@OLDCPI25_MU@@,OutputChartFile,OldCPI[6|25]
@@OLDCPI25_VOL@@,OutputChartFile,OldCPI[7|25]
@@OLDCPI30_5@@,OutputChartFile,OldCPI[1|30]
@@OLDCPI30_25@@,OutputChartFile,OldCPI[2|30]
@@OLDCPI30_50@@,OutputChartFile,OldCPI[3|30]
@@OLDCPI30_75@@,OutputChartFile,OldCPI[4|30]
@@OLDCPI30_95@@,OutputChartFile,OldCPI[5|30]
@@OLDCPI30_MU@@,OutputChartFile,OldCPI[6|30]
@@OLDCPI30_VOL@@,OutputChartFile,OldCPI[7|30]
@@NEWCPI1_5@@,OutputChartFile,NewCPI[1|1]
